Internal Name,Display Name,File Type,Difficulty,Avg Tokens,Num Puzzles
openai_gpt-oss-120b,GPT-OSS 120B,gym,3,15532.01652892562,121
openai_gpt-oss-120b,GPT-OSS 120B,gym,5,22913.3595505618,89
openai_gpt-oss-120b,GPT-OSS 120B,gym,1,12915.941860465116,86
openai_gpt-oss-120b,GPT-OSS 120B,gym,4,19518.674418604653,86
openai_gpt-oss-120b,GPT-OSS 120B,gym,2,15457.466101694916,118
openai_gpt-oss-120b,GPT-OSS 120B,traceback,3,30512.214876033056,121
openai_gpt-oss-120b,GPT-OSS 120B,traceback,5,34414.06741573034,89
openai_gpt-oss-120b,GPT-OSS 120B,traceback,1,30403.03488372093,86
openai_gpt-oss-120b,GPT-OSS 120B,traceback,4,30202.60465116279,86
openai_gpt-oss-120b,GPT-OSS 120B,traceback,2,30738.57627118644,118
